Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/dashboard,9,0,3,3.3347236666890643,2.9423529999803577,4.132018000063908,645.2222222222222,0.16133136726138037,0.0,3,3,3,4,4,4,4,4,4,4,4
GET,/api/admin/manifestacoes [GET],9,3,4,4.326392444454541,3.063645999873188,9.53008399983446,4391.666666666667,0.16133136726138037,0.053777122420460115,4,4,4,4,10,10,10,10,10,10,10
GET,/api/admin/manifestacoes/:id [GET],4,0,3.0832400000235793,3.315632750002351,3.0832400000235793,3.4429310001087288,693.5,0.07170282989394683,0.0,3,3,3,3,3,3,3,3,3,3,3
POST,/api/admin/manifestacoes/:id/resposta [POST],4,0,19,19.709914250029215,18.369505000009667,21.019497999986925,1089.5,0.07170282989394683,0.0,20,20,21,21,21,21,21,21,21,21,21
PATCH,/api/admin/manifestacoes/:id/status [PATCH],3,0,11,10.993670000061684,10.561447000100088,11.567022000008365,744.0,0.053777122420460115,0.0,11,11,12,12,12,12,12,12,12,12,12
POST,/api/auth/login,2,0,69,78.99255500001345,68.56291400004011,89.4221959999868,489.0,0.035851414946973414,0.0,89,89,89,89,89,89,89,89,89,89,89
POST,/api/manifestacoes [POST],39,0,12,13.684376743582012,10.102122000034797,70.24736799985476,745.5641025641025,0.6991025914659815,0.0,12,12,13,13,15,17,70,70,70,70,70
GET,/api/manifestacoes/:protocolo [GET 404],18,18,3,2.795925333316518,2.398166000148194,4.3901349999941885,39.0,0.32266273452276073,0.32266273452276073,3,3,3,3,3,4,4,4,4,4,4
GET,/api/manifestacoes/:protocolo [GET],84,0,3,3.1858073214288023,2.1332060000531783,14.13546599997062,783.5714285714286,1.5057594277728834,0.0,3,3,3,3,3,5,13,14,14,14,14
GET,/health,15,0,2,1.8786883333329267,1.600568999947427,2.3577880001539597,54.0,0.2688856121023006,0.0,2,2,2,2,2,2,2,2,2,2,2
,Aggregated,187,21,3,6.587293272727486,1.600568999947427,89.4221959999868,813.2780748663101,3.352107297542014,0.37643985694322085,3,4,11,11,13,15,21,70,89,89,89
