Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769638223,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1769638224,5,,Aggregated,0.000000,0.000000,72,72,73,73,79,79,79,79,79,79,79,6,0,5,39.317452333345194,3.298867000012251,78.80471300018144,1407.6666666666667
1769638225,10,,Aggregated,0.000000,0.000000,68,70,70,72,73,79,79,79,79,79,79,13,0,68,40.23350292310659,2.5268839999625925,78.80471300018144,1406.0
1769638226,15,,Aggregated,0.000000,0.000000,31,69,70,70,72,73,79,79,79,79,79,21,0,31,37.0104861428791,2.5268839999625925,78.80471300018144,1135.904761904762
1769638227,20,,Aggregated,6.000000,0.000000,31,70,72,73,88,91,91,91,91,91,91,32,1,29,40.12372821878074,1.6986050000014075,91.46895600019889,1199.1875
1769638228,25,,Aggregated,7.000000,0.000000,12,69,71,73,87,89,91,91,91,91,91,42,2,10,35.180313857170276,1.6986050000014075,91.46895600019889,1049.2142857142858
1769638229,30,,Aggregated,8.000000,0.250000,5,31,70,72,88,91,91,92,92,92,92,58,6,5,30.1107763103683,1.6986050000014075,91.90842699990753,1011.2068965517242
1769638230,35,,Aggregated,8.000000,0.250000,10,68,70,78,87,90,91,92,92,92,92,70,7,10,31.21972877144604,1.6986050000014075,91.90842699990753,955.3571428571429
1769638231,40,,Aggregated,9.333333,1.000000,5,21,70,70,80,89,91,92,92,92,92,87,8,5,27.5568874597845,1.6101009998692462,91.90842699990753,969.1724137931035
1769638232,45,,Aggregated,9.333333,1.000000,5,12,68,70,79,88,91,91,92,92,92,104,9,5,25.341724807707177,1.6101009998692462,91.90842699990753,910.0
