Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/dashboard,120,0,3,5.721616241665591,2.1746479999364965,109.89846000006764,832.9083333333333,1.048332293318162,0.0,3,3,3,4,11,12,22,82,110,110,110
GET,/api/admin/manifestacoes [GET],189,31,4,5.018147687832709,2.3295280000183993,114.88257199994223,6225.873015873016,1.6511233619761052,0.27081917577385856,4,4,4,4,5,12,13,40,110,110,110
GET,/api/admin/manifestacoes/:id [GET],134,0,3,3.496635194038906,2.0233200000348006,23.317108000128428,731.1343283582089,1.1706377275386144,0.0,3,3,3,4,4,7,11,11,23,23,23
POST,/api/admin/manifestacoes/:id/resposta [POST],50,0,19,22.642752919987288,16.94735099999889,88.02153800002088,1131.78,0.43680512221590084,0.0,19,20,20,21,28,37,88,88,88,88,88
PATCH,/api/admin/manifestacoes/:id/status [PATCH],72,0,11,11.725135444442635,8.485010999947917,28.828444999817293,714.4444444444445,0.6289993759908973,0.0,11,11,12,12,17,19,29,29,29,29,29
POST,/api/auth/login,20,0,150.0,140.46840020000673,70.08416000007855,169.46982499985097,489.0,0.17472204888636034,0.0,150,160,160,160,170,170,170,170,170,170,170
POST,/api/manifestacoes [POST],898,0,11,13.628586135857399,8.241135999924154,179.8822729999756,750.8340757238308,7.845019994997579,0.0,11,12,12,12,14,19,32,120,180,180,180
GET,/api/manifestacoes/:protocolo [GET 404],327,327,2,4.442431033643604,1.4448829999764712,171.5846590000183,39.0,2.8567054992919916,2.8567054992919916,2,2,3,3,5,10,20,72,170,170,170
GET,/api/manifestacoes/:protocolo [GET],1566,0,3,4.185765456577051,1.4424600001348153,167.9261439999209,728.8818646232439,13.680736427802016,0.0,3,3,3,3,3,7,13,73,160,170,170
GET,/health,310,0,2,2.2465421483935466,0.8011330000954331,164.0058450000197,54.0,2.7081917577385854,0.0,2,2,2,2,2,2,7,7,160,160,160
,Aggregated,3686,358,3,7.550670224906134,0.8011330000954331,179.8822729999756,905.4777536625068,32.201273609756214,3.12752467506585,3,5,10,11,12,17,32,110,170,180,180
