Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/dashboard,239,0,3,54.136479694559235,2.035212999999203,2645.9989079999104,841.9581589958159,2.1204500411430556,0.0,3,4,4,6,70,390,610,800,2600,2600,2600
GET,/api/admin/manifestacoes [GET],424,75,4,45.99048697405831,2.1719159999520343,899.7541270000511,6163.669811320755,3.761802583450442,0.6654131928273187,4,5,6,10,41,400,600,720,900,900,900
GET,/api/admin/manifestacoes/:id [GET],266,0,3,29.64467359022724,1.9812389998605795,1010.9899599999608,733.8308270676691,2.3599987905608906,0.0,3,3,4,4,11,100,540,830,1000,1000,1000
POST,/api/admin/manifestacoes/:id/resposta [POST],73,0,20,129.46938397260666,16.119231999937256,2560.146103000079,1132.2602739726028,0.6476688410185902,0.0,20,21,26,28,130,1000,1300,2600,2600,2600,2600
PATCH,/api/admin/manifestacoes/:id/status [PATCH],158,0,10,78.3148210696254,8.163877000015418,2553.8566000000174,733.2594936708861,1.4018037928895515,0.0,10,11,12,17,150,490,870,1300,2600,2600,2600
POST,/api/auth/login,40,0,270.0,251.98148515001435,77.7154419999988,307.2346750000179,489.0,0.35488703617457,0.0,270,280,280,280,280,290,310,310,310,310,310
POST,/api/manifestacoes [POST],1777,3,11,126.977265132807,8.49714299988591,5479.226309000069,750.2228474957794,15.765856582055271,0.02661652771309275,11,12,14,18,220,850,1600,2400,5200,5500,5500
GET,/api/manifestacoes/:protocolo [GET 404],587,587,2,59.32812538671438,1.2898889999632956,5035.197656000037,39.76660988074958,5.207967255861814,5.207967255861814,2,3,3,5,70,290,660,870,5000,5000,5000
GET,/api/manifestacoes/:protocolo [GET],3085,1,2,49.06485908103638,1.3911470000493864,5433.23893600018,726.9555915721231,27.37066266496371,0.00887217590436425,2,3,3,5,48,310,600,810,3100,5400,5400
GET,/health,588,0,1,2.0905596275506655,0.7607219999954395,222.95645100007278,54.0,5.216839431766179,0.0,1,2,2,2,2,2,10,14,220,220,220
,Aggregated,7237,666,3,67.05636085850475,0.7607219999954395,5479.226309000069,947.739671134448,64.20793701988407,5.908869152306591,3,10,11,12,68,340,820,1300,5000,5500,5500
