Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769638452,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1769638453,20,,Aggregated,0.000000,0.000000,280,280,280,290,290,290,290,290,290,290,290,22,2,280.0,234.2577706818309,13.30889600012597,292.7070890000323,693.0454545454545
1769638454,40,,Aggregated,0.000000,0.000000,90,280,280,280,290,290,290,290,290,290,290,48,4,88,153.90910966666618,4.150529000071401,292.7070890000323,928.0
1769638455,60,,Aggregated,2.000000,0.000000,20,270,280,280,280,290,290,290,290,290,290,80,7,20,113.33515119999902,1.2747649998345878,292.7070890000323,898.55
1769638456,80,,Aggregated,19.000000,1.500000,20,270,280,280,280,290,310,320,340,340,340,121,12,20,122.78141943801725,1.2747649998345878,336.300306999874,902.0330578512396
1769638457,100,,Aggregated,21.000000,2.333333,18,150,270,280,280,290,300,320,340,340,340,173,13,18,109.16969133525481,1.2747649998345878,336.300306999874,980.8728323699422
1769638458,120,,Aggregated,21.000000,1.750000,20,150,270,280,280,290,340,360,380,380,380,222,18,20,114.39445074774214,1.2747649998345878,378.75648499993986,960.6801801801802
1769638459,140,,Aggregated,25.600000,2.400000,18,140,270,270,280,290,320,360,380,380,380,280,21,18,105.58749184285148,1.098100000035629,378.75648499993986,935.2678571428571
1769638460,160,,Aggregated,29.166667,2.333333,15,140,270,280,280,290,340,360,380,380,380,347,29,15,105.50885538039756,0.9482160000970907,378.75648499993986,915.1700288184438
1769638460,180,,Aggregated,29.166667,2.333333,14,110,220,270,280,290,330,350,380,380,380,417,36,14,96.41318458032909,0.9482160000970907,378.75648499993986,898.4244604316547
1769638461,200,,Aggregated,33.571429,2.714286,14,93,180,270,280,290,320,350,380,380,380,493,42,14,90.50951744015612,0.9482160000970907,378.75648499993986,910.3833671399594
1769638462,200,,Aggregated,41.000000,3.500000,12,41,140,210,280,290,320,340,380,380,380,570,48,12,79.1829339666616,0.9272790000522946,378.75648499993986,931.4350877192983
1769638463,200,,Aggregated,54.333333,4.555556,11,29,110,180,280,290,310,340,380,380,380,622,51,11,73.00255029903131,0.8098590001281991,378.75648499993986,924.8360128617363
1769638464,200,,Aggregated,56.100000,4.700000,12,39,130,170,280,290,310,340,440,440,440,670,53,12,74.40911252536884,0.8098590001281991,435.8615740000005,930.6179104477612
1769638465,200,,Aggregated,61.500000,5.100000,12,78,160,240,290,360,490,550,1700,1700,1700,712,56,12,97.55143781319833,0.8098590001281991,1693.8190820001182,937.939606741573
1769638466,200,,Aggregated,63.100000,5.000000,14,120,240,280,350,490,1000,1400,2600,2600,2600,792,58,14,142.22537064014804,0.8098590001281991,2645.9989079999104,950.0555555555555
1769638467,200,,Aggregated,63.500000,4.800000,15,130,230,280,350,490,960,1300,2600,2600,2600,827,62,15,142.01375614993648,0.8098590001281991,2645.9989079999104,930.2200725513906
1769638468,200,,Aggregated,70.600000,5.100000,19,140,270,280,420,600,1200,1400,4500,4500,4500,868,66,19,163.519233082946,0.8098590001281991,4545.285435999858,960.9089861751152
1769638469,200,,Aggregated,69.700000,5.000000,38,200,280,300,560,900,1600,2800,5400,5400,5400,966,83,38,235.2023816790863,0.8098590001281991,5433.23893600018,972.1086956521739
1769638470,200,,Aggregated,69.200000,5.200000,23,170,280,290,540,890,1600,2600,5200,5400,5400,1012,86,22,226.44643262153724,0.8098590001281991,5433.23893600018,984.3339920948616
1769638471,200,,Aggregated,72.100000,6.300000,17,140,270,290,500,870,1600,2600,5200,5400,5400,1080,93,17,212.7063226351812,0.8098590001281991,5433.23893600018,973.5537037037037
1769638472,200,,Aggregated,68.200000,5.700000,14,130,270,280,490,870,1500,2600,5200,5400,5400,1138,96,14,202.1690297363757,0.8098590001281991,5433.23893600018,975.6291739894552
1769638473,200,,Aggregated,58.400000,5.200000,12,100,230,280,460,840,1400,2500,5200,5400,5400,1218,104,12,189.19983914531653,0.8098590001281991,5433.23893600018,982.028735632184
1769638474,200,,Aggregated,57.000000,4.800000,12,87,210,280,440,830,1400,2500,5200,5400,5400,1275,109,12,181.09681708862453,0.8098590001281991,5433.23893600018,972.0541176470588
1769638475,200,,Aggregated,59.000000,5.300000,12,60,180,270,430,790,1400,2100,5200,5400,5400,1342,114,12,172.36543913487046,0.8098590001281991,5433.23893600018,974.075260804769
1769638476,200,,Aggregated,60.000000,5.500000,11,41,170,270,420,750,1400,2100,5200,5400,5400,1398,124,11,165.63852992560575,0.8098590001281991,5433.23893600018,970.115164520744
1769638477,200,,Aggregated,63.700000,5.900000,11,31,140,240,400,720,1300,1800,5200,5400,5400,1467,131,11,158.0779438323088,0.8098590001281991,5433.23893600018,976.5037491479209
1769638478,200,,Aggregated,60.200000,6.400000,11,21,130,220,380,710,1300,1800,5200,5400,5400,1533,141,11,151.48380755120562,0.8098590001281991,5433.23893600018,973.1389432485323
1769638479,200,,Aggregated,63.500000,6.800000,11,19,110,210,370,690,1300,1800,5200,5400,5400,1585,147,11,146.69532864037768,0.8098590001281991,5433.23893600018,965.2555205047319
1769638480,200,,Aggregated,65.700000,7.400000,10,17,100,200,360,660,1300,1800,5200,5400,5400,1647,150,10,141.4101252890099,0.8098590001281991,5433.23893600018,986.043108682453
1769638481,200,,Aggregated,62.000000,6.100000,10,15,90,170,350,630,1200,1700,5200,5400,5400,1708,158,10,136.58316053629952,0.8098590001281991,5433.23893600018,975.5521077283372
1769638482,200,,Aggregated,62.500000,6.500000,10,14,82,160,340,600,1200,1700,5200,5400,5400,1773,164,10,131.80261816638404,0.8098590001281991,5433.23893600018,975.6260575296109
1769638483,200,,Aggregated,62.800000,6.500000,10,13,60,140,330,570,1200,1600,5200,5400,5400,1827,167,10,128.02785156759697,0.8098590001281991,5433.23893600018,975.5807334428024
