Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/dashboard,613,1,4,94.45263823490814,2.2024879999662517,2643.0873280000924,845.0179445350734,5.436006041928459,0.008867872825331906,4,6,11,12,38,510,1900,2100,2600,2600,2600
GET,/api/admin/manifestacoes [GET],947,186,6,99.22998362513279,2.068833000066661,5528.5977469998215,6087.88489968321,8.397875565589315,1.6494243455117346,6,11,17,24,65,480,1700,2000,5500,5500,5500
GET,/api/admin/manifestacoes/:id [GET],602,2,3,87.45363372590981,1.8770900001072732,3614.1075599998658,730.4102990033223,5.338459440849808,0.01773574565066381,3,6,11,12,62,540,1700,1900,3600,3600,3600
POST,/api/admin/manifestacoes/:id/resposta [POST],224,1,21,231.66606841071774,15.693155000008119,5455.195686000025,1118.4776785714287,1.986403512874347,0.008867872825331906,21,26,33,40,210,1600,3800,4400,5500,5500,5500
PATCH,/api/admin/manifestacoes/:id/status [PATCH],407,0,11,108.69647857248026,7.825850000017454,5204.698123000071,735.9631449631449,3.609224239910086,0.0,11,12,18,20,64,410,2000,2000,5200,5200,5200
POST,/api/auth/login,100,0,670.0,644.2078615700027,155.58937100013281,877.1936460000234,489.0,0.8867872825331906,0.0,670,690,700,700,730,730,780,880,880,880,880
POST,/api/manifestacoes [POST],4447,0,12,178.32561737620972,7.318013000030987,5816.834950999919,750.4587362266697,39.43543045425099,0.0,12,17,20,25,98,770,3600,4200,5500,5800,5800
GET,/api/manifestacoes/:protocolo [GET 404],1521,1521,2,68.17331739973679,1.2720710001303814,3748.712711000053,39.0,13.48803456732983,13.48803456732983,2,4,6,10,36,380,770,1900,3700,3700,3700
GET,/api/manifestacoes/:protocolo [GET],7458,0,3,79.61966927889581,1.3205459999880986,5198.746881000034,727.866318047734,66.13659553132536,0.0,3,5,10,11,43,460,1600,1900,2700,5200,5200
GET,/health,1515,0,1,8.501762529373357,0.7881320000251435,593.7984699999106,54.0,13.434827330377837,0.0,1,1,2,2,2,23,94,280,580,590,590
,Aggregated,17834,1711,5,104.76954701384956,0.7881320000251435,5816.834950999919,909.9894583380061,158.14964396696922,15.172930404142893,5,11,13,19,57,610,1700,2500,4900,5600,5800
